Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
0,0,0,0.022,0,0, ,1.17,0,0,0,0,0,,4000,0,4000,0,177.78,0,0,0,4000,0,0,0
0.044,0,0,0.037,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.117,0,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.234,0.051,0,0.022,0,0, ,1.87,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.352,0,0.029,0.044,0.007,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.44,0,0,0.022,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.579,0,0,0.037,0,0, ,0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.711,0.029,0.007,0.015,0,0, ,0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.835,0.029,0.007,0.037,0,0.015, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
0.975,0.051,0.037,0.029,0,0, ,1.4,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
1.099,0,0.007,0.029,0,0, ,1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
1.224,0,0,0.015,0,0, ,0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
1.312,0.029,0,0.037,0,0.007, ,0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
1.421,0.051,0,0.029,0,0, ,0.94,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
1.524,0.007,0.029,0.022,0,0, ,1.64,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
1.619,0,0.022,0.037,0,0, ,1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
1.707,0,0,0.022,0,0, ,0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
1.78,0,0,0.044,0,0.022, ,-0.23,0,0,0,0,0,,4000,0,4000,0,86.94,0,0,0,4000,0,0,0
1.898,0.044,0.007,0.029,0,0, ,0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
1.978,0.051,0.029,0.029,0,0, ,0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.044,0.044,0.007,0.029,0,0, ,0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.169,0.051,0.029,0.022,0,0, ,1.4,0,0,0,0,0,,4000,0,4000,0,86.94,0,0,0,4000,0,0,0
2.227,0.007,0.022,0.044,0,0.029, ,1.87,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.279,0,0,0.029,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.359,0.051,0,0.037,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.418,0.051,0,0.015,0,0, ,1.4,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.506,0.022,0.037,0.037,0,0, ,1.4,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.542,0,0.015,0.029,0,0, ,1.64,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.594,0,0,0.029,0,0, ,-0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.623,0,0,0.037,0,0.029, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.674,0.044,0.015,0.029,0,0, ,1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.733,0.051,0.029,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.784,0.051,0.029,0.022,0,0, ,0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.828,0.051,0.022,0.044,0,0, ,1.4,0,0,0,0,0,,4000,0,4000,0,86.94,0,0,0,4000,0,0,0
2.865,0.051,0.029,0.029,0,0.029, ,1.64,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.894,0.007,0.007,0.037,0.007,0.029, ,1.64,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.902,0.015,0,0.022,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.924,0,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.953,0,0,0.022,0,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.989,0.051,0.029,0.015,0,0, ,1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.011,0.051,0.037,0.044,0.007,0, ,0.94,0,0,0,0,0,,4000,0,4000,0,88.89,0,0,0,4000,0,0,0
3.004,0.051,0.022,0.022,0,0, ,0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.026,0.022,0.022,0.059,0.007,0.022, ,0.94,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.004,0,0,0.029,0,0, ,-0.94,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.011,0,0,0.037,0,0, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.011,0,0,0.029,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.041,0.044,0.015,0.022,0,0, ,1.87,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.055,0.051,0.029,0.022,0,0, ,1.64,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.026,0,0,0.037,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.033,0.029,0.007,0.044,0,0.015, ,0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.055,0.051,0.022,0.029,0,0.015, ,0.94,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.077,0.051,0.029,0.037,0,0, ,1.64,0,0,0,0,0,,4000,0,4000,0,86.94,0,0,0,4000,0,0,0
3.063,0,0,0.044,0,0, ,0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.048,0,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.07,0.051,0.029,0.037,0,0, ,1.4,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.055,0,0.007,0.051,0.007,0.029, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.026,0,0,0.029,0,0, ,-0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.033,0.044,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.033,0.044,0,0.044,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.026,0.051,0,0.007,0,0, ,1.4,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.997,0,0,0.037,0,0.029, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.975,0,0,0.022,0,0, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.96,0,0,0.044,0,0, ,-0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,47.86,0
2.916,0,0,0.015,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.88,0.029,0,0.022,0,0, ,0.94,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,46.89,0
2.894,0.051,0.044,0.029,0,0.007, ,1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.858,0,0,0.044,0,0, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.828,0,0,0.037,0,0, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.814,0,0,0.029,0,0, ,0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.792,0,0,0.037,0,0.015, ,-0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.777,0,0,0.022,0,0, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.77,0.044,0.015,0.015,0,0, ,1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.762,0,0,0.029,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.77,0,0,0.029,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,86.94,0,0,0,4000,0,0,0
2.777,0,0,0.037,0,0, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.806,0,0,0.015,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.858,0.029,0.007,0.037,0,0.015, ,0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.916,0.051,0.015,0.037,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
2.997,0,0,0.029,0.007,0, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.011,0,0,0.029,0,0, ,-0.7,0,0,0,0,0,,4000,0,4000,0,86.94,0,0,0,4000,0,0,0
3.085,0,0,0.029,0,0, ,-0.94,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.165,0,0.007,0.029,0,0, ,-0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.253,0.044,0.022,0.029,0,0, ,0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.319,0,0.007,0.044,0.007,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.4,0.007,0,0.037,0,0, ,1.64,0,0,0,0,0,,4000,0,4000,0,90.84,0,0,0,4000,0,0,0
3.451,0,0,0.037,0,0, ,-0.94,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.502,0,0,0.022,0,0.015, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.583,0,0,0.037,0,0, ,-1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.671,0.051,0.015,0.029,0,0, ,0.94,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.729,0.007,0.029,0.037,0,0.029, ,1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.751,0,0,0.051,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.81,0.015,0,0.029,0,0, ,0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.883,0,0,0.029,0,0.015, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.913,0,0,0.015,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
3.979,0,0,0.037,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.015,0,0,0.015,0,0, ,-0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.096,0,0.037,0.037,0,0, ,1.4,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.118,0,0,0.037,0,0, ,-1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.132,0,0,0.051,0,0.007, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.191,0,0,0.044,0,0, ,0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.228,0,0,0.022,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.272,0,0,0.051,0.007,0.015, ,-0.47,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.323,0.051,0.022,0.044,0.007,0.029, ,1.4,0,0,0,0,0,,4000,0,4000,0,88.89,0,0,0,4000,0,0,0
4.36,0.051,0.037,0.029,0,0, ,1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.382,0.051,0.022,0.029,0,0, ,1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.411,0,0,0.037,0,0, ,1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.411,0,0,0.029,0,0.007, ,-1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.418,0,0,0.029,0,0, ,-1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.484,0.022,0.044,0.044,0,0.029, ,1.4,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.484,0.007,0.029,0.037,0,0.022, ,1.87,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.484,0,0.007,0.037,0,0, ,-1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.484,0,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.499,0,0,0.044,0,0, ,0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.499,0,0,0.015,0,0, ,-0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.557,0.051,0.022,0.029,0,0, ,1.17,0,0,0,0,0,,4000,0,4000,0,90.84,0,0,0,4000,0,0,0
4.572,0.022,0.029,0.029,0,0.029, ,1.4,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.579,0.051,0.022,0.022,0,0, ,1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.55,0,0,0.037,0,0, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.55,0.015,0,0.029,0,0, ,0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,48.84,0
4.572,0,0.015,0.022,0,0, ,0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.609,0.007,0.029,0.037,0,0.007, ,1.17,0,0,0,0,0,,4000,0,4000,0,90.84,0,0,0,4000,0,0,0
4.594,0,0.022,0.037,0,0, ,0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.594,0,0.007,0.037,0,0, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.587,0,0,0.037,0,0.007, ,-0.7,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,47.86,0
4.587,0,0,0.044,0,0.015, ,0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.594,0.029,0.007,0.029,0,0, ,0.23,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.638,0,0.022,0.022,0,0, ,1.17,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
4.631,0,0.007,0.037,0,0.015, ,1.4,0,0,0,0,0,,4000,0,4000,0,0,0,0,0,4000,0,0,0
