SAP ID,109006079247,
HEADER:,
Substation:,HYDERABAD SS,,SAP Equipment No.:,109006079247,,Test Date :,16-11-2024,,
Bay :,409,,Breaker Type :,400-SFM-60AA,,Serial Number :,61970C,,
Employee Id :,60004199,,Manufacturer :,CGL,,Gas Pressure :,7.0,,
Oil Pressure :,TC-I  DCRM Y Ph,,Air Pressure :,0,,Voltage (kV) :,400,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,4000,,
Plot Length(ms) :,550,,Delay tco (ms) :,300,,Delay toc (ms) :,150,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,25,,Current Range C5(A) :,25,,Current Range C6(A) :,25,,
T1 (mm) :,140.88,,T2 (mm) :,0.00,,T3 (mm) :,0.00,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Disabled,,
Analog Channels :,Enabled,,Linkage Ratio :,3.11,,
Electric Stroke Length T1 :,308,,Electric Stroke Length T2 :,0,,Electric Stroke Length T3 :,0,,
Electric Stroke Length T4 :,0,,Electric Stroke Length T5 :,0,,Electric Stroke Length T6 :,0,,

Velocity Points :,
Close1 :,20,,Open1 :,80,,DefClose :,10,
Close2 :,80,,Open2 :,20,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,45.30,,Mechanism Travel(T2)(mm) :,0.00,,Mechanism Travel(T3)(mm) :,0.00,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,140.88,,Contact Travel(T2)(mm) :,0.00,,Contact Travel(T3)(mm) :,0.00,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,3.31,,Close - Datum Velocity (m/s)(T2) :,0.00,,Close - Datum Velocity (m/s)(T3) :,0.00,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,5.87,,Open - Datum Velocity (m/s)(T2) :,0.00,,Open - Datum Velocity (m/s)(T3) :,0.00,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,2.97,,Close - Over Travel(T2)(mm) :,0,,Close - Over Travel(T3)(mm) :,0,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,1.81,,Open - Rebound(T2)(mm) :,0.00,,Open -Rebound(T3)(mm) :,0.00,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,4.653,,Coil Current (A)(C2) :,4.741,,Coil Current (A)(C3) :,0.059,,
Coil Current (A)(C4) :,0.066,,Coil Current (A)(C5) :,0.029,,Coil Current (A)(C6) :,0.044,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.38,Close -Velocity (m/s) :,3.38,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.13,Open -Velocity (m/s) :,6.27,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,TR1,,TR1,,TR5,,TR5,,TR6,,TR6,
,,,,,,,,,,,,,,CT Y ph,,ISO YPh,,CT Y Ph,,ISO YPh,,CT B Ph,,ISO BPh,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.007,0.000,0.000,0.015,0.000,0.000, ,-0.36,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
0.117,0.051,0.015,0.015,0.000,0.000, ,0.54,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
0.176,0.000,0.000,0.029,0.000,0.029, ,0.28,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
0.293,0.000,0.000,0.029,0.000,0.000, ,0.12,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
0.447,0.007,0.029,0.022,0.000,0.000, ,0.49,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
0.535,0.051,0.007,0.022,0.000,0.000, ,0.28,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
0.667,0.000,0.037,0.029,0.000,0.000, ,0.33,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
0.769,0.000,0.000,0.037,0.000,0.000, ,-0.20,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
0.923,0.007,0.059,0.029,0.000,0.000, ,0.12,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
1.004,0.000,0.000,0.029,0.000,0.000, ,-0.20,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
1.172,0.007,0.015,0.037,0.000,0.007, ,0.28,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
